get headers list|public java.util.List<com.google.privacy.dlp.v2.FieldId> () { return headers_; }
transfer|private int (int state, int[] ids) { for (int c : ids) { if ((getBase(state) + c < getBaseArraySize()) && (getCheck(getBase(state) + c) == state)) { state = getBase(state) + c; } else { return -1; } } return state; }
retrieve saml authentication request from http request|protected AuthnRequest (final HttpServletRequest request) throws Exception { LOGGER.debug("Retrieving authentication request from scope"); val requestValue = request.getParameter(SamlProtocolConstants.PARAMETER_SAML_REQUEST); if (StringUtils.isBlank(requestValue)) { throw new IllegalArgumentException("SAML request could not be determined from the authentication request"); } val encodedRequest = EncodingUtils.decodeBase64(requestValue.getBytes(StandardCharsets.UTF_8)); return (AuthnRequest) XMLObjectSupport.unmarshallFromInputStream(samlProfileHandlerConfigurationContext.getOpenSamlConfigBean().getParserPool(), new ByteArrayInputStream(encodedRequest)); }
set strictly co located with|public void (JobVertex strictlyCoLocatedWith) { if (this.slotSharingGroup == null || this.slotSharingGroup != strictlyCoLocatedWith.slotSharingGroup) { throw new IllegalArgumentException("Strict co-location requires that both vertices are in the same slot sharing group."); } CoLocationGroup thisGroup = this.coLocationGroup; CoLocationGroup otherGroup = strictlyCoLocatedWith.coLocationGroup; if (otherGroup == null) { if (thisGroup == null) { CoLocationGroup group = new CoLocationGroup(this, strictlyCoLocatedWith); this.coLocationGroup = group; strictlyCoLocatedWith.coLocationGroup = group; } else { thisGroup.addVertex(strictlyCoLocatedWith); strictlyCoLocatedWith.coLocationGroup = thisGroup; } } else { if (thisGroup == null) { otherGroup.addVertex(this); this.coLocationGroup = otherGroup; } else { // both had yet distinct groups, we need to merge them thisGroup.mergeInto(otherGroup); } } }
get label atom|@Nullable public LabelAtom (@CheckForNull String name) { if (name == null) return null; while (true) { Label l = labels.get(name); if (l != null) return (LabelAtom) l; // non-existent LabelAtom la = new LabelAtom(name); if (labels.putIfAbsent(name, la) == null) la.load(); } }
resolve template|private String (AnnotationValue<Client> clientAnnotation, String templateString) { String path = clientAnnotation.get("path", String.class).orElse(null); if (StringUtils.isNotEmpty(path)) { return path + templateString; } else { String value = clientAnnotation.getValue(String.class).orElse(null); if (StringUtils.isNotEmpty(value)) { if (value.startsWith("/")) { return value + templateString; } } return templateString; } }
get login context|protected LoginContext (final UsernamePasswordCredential credential) throws GeneralSecurityException { val callbackHandler = new UsernamePasswordCallbackHandler(credential.getUsername(), credential.getPassword()); if (this.loginConfigurationFile != null && StringUtils.isNotBlank(this.loginConfigType) && this.loginConfigurationFile.exists() && this.loginConfigurationFile.canRead()) { final Configuration.Parameters parameters = new URIParameter(loginConfigurationFile.toURI()); val loginConfig = Configuration.getInstance(this.loginConfigType, parameters); return new LoginContext(this.realm, null, callbackHandler, loginConfig); } return new LoginContext(this.realm, callbackHandler); }
reset thread context loader|public void () { if (LoaderUtils.isContextLoaderAvailable() && isContextLoaderSaved) { LoaderUtils.setContextClassLoader(savedContextLoader); savedContextLoader = null; isContextLoaderSaved = false; } }
load|public static StringDictionary (String path, String separator) { StringDictionary dictionary = new StringDictionary(separator); if (dictionary.load(path)) return dictionary; return null; }
get font|public static Font (int style, Size size) { return getFont(getDefaultFont(), size).deriveFont(style); }
populate metadata|public static void (AbstractComputeInstanceMetadata instanceMetadata, Map<?, ?> metadata) { if (metadata != null) { Map<String, String> finalMetadata = new HashMap<>(metadata.size()); for (Map.Entry<?, ?> entry : metadata.entrySet()) { Object key = entry.getKey(); Object value = entry.getValue(); if (value instanceof String) { finalMetadata.put(key.toString(), value.toString()); } } instanceMetadata.setMetadata(finalMetadata); } }
get extensions|public List<Extension> () { List<Extension> list = new ArrayList<Extension>(); for (AddOn addOn : getAddOnCollection().getAddOns()) { list.addAll(getExtensions(addOn)); } return list; }
prepare saml outbound destination handler|protected <T extends SAMLObject> void (final MessageContext<T> outboundContext) throws Exception { val handlerDest = new SAMLOutboundDestinationHandler(); handlerDest.initialize(); handlerDest.invoke(outboundContext); }
combine|public void (SimpleItem other) { for (Map.Entry<String, Integer> entry : other.labelMap.entrySet()) { addLabel(entry.getKey(), entry.getValue()); } }
symmetric generalized eigenvalues|public static INDArray (INDArray A, INDArray B) { Preconditions.checkArgument(A.isMatrix() && A.isSquare(), "Argument A must be a square matrix: has shape %s", A.shape()); Preconditions.checkArgument(B.isMatrix() && B.isSquare(), "Argument B must be a square matrix: has shape %s", B.shape()); INDArray W = Nd4j.create(A.rows()); A = InvertMatrix.invert(B, false).mmuli(A); Nd4j.getBlasWrapper().syev('V', 'L', A, W); return W; }
process|@Override public boolean (Set<? extends TypeElement> annotations, RoundEnvironment roundEnv) { if (errorToShow != null) { if (errorToShow != null) { Set<? extends Element> rootElements = roundEnv.getRootElements(); if (!rootElements.isEmpty()) { processingEnv.getMessager().printMessage(Kind.WARNING, errorToShow, rootElements.iterator().next()); errorToShow = null; } } } return false; }
compute unclosed branch stack|@Override public void () { if (this.openBranches != null) { return; } addClosedBranches(getPredecessorNode().closedBranchingNodes); List<UnclosedBranchDescriptor> fromInput = getPredecessorNode().getBranchesForParent(this.inConn); // handle the data flow branching for the broadcast inputs List<UnclosedBranchDescriptor> result = computeUnclosedBranchStackForBroadcastInputs(fromInput); this.openBranches = (result == null || result.isEmpty()) ? Collections.<UnclosedBranchDescriptor>emptyList() : result; }
collect client|public void (RpcClientLookoutModel rpcClientMetricsModel) { try { Id methodConsumerId = createMethodConsumerId(rpcClientMetricsModel); MixinMetric methodConsumerMetric = Lookout.registry().mixinMetric(methodConsumerId); recordCounterAndTimer(methodConsumerMetric, rpcClientMetricsModel); recordSize(methodConsumerMetric, rpcClientMetricsModel); } catch (Throwable t) { LOGGER.error(LogCodes.getLog(LogCodes.ERROR_METRIC_REPORT_ERROR), t); } }
parse reader|public static JsonElement (JsonReader reader) throws JsonIOException, JsonSyntaxException { boolean lenient = reader.isLenient(); reader.setLenient(true); try { return Streams.parse(reader); } catch (StackOverflowError e) { throw new JsonParseException("Failed parsing JSON source: " + reader + " to Json", e); } catch (OutOfMemoryError e) { throw new JsonParseException("Failed parsing JSON source: " + reader + " to Json", e); } finally { reader.setLenient(lenient); } }
list region autoscalers|@BetaApi public final ListRegionAutoscalersPagedResponse (ProjectRegionName region) { ListRegionAutoscalersHttpRequest request = ListRegionAutoscalersHttpRequest.newBuilder().setRegion(region == null ? null : region.toString()).build(); return listRegionAutoscalers(request); }
set status|public void (String asgName, boolean enabled) { String asgAccountId = getASGAccount(asgName); asgCache.put(new CacheKey(asgAccountId, asgName), enabled); }
binary search|public static <T> int (List<? extends Comparable<? super T>> sortedList, T key) { return Collections.binarySearch(sortedList, key); }
set credentials|public void (final UsernamePasswordCredential credential) { val wss4jSecurityInterceptor = new Wss4jSecurityInterceptor(); wss4jSecurityInterceptor.setSecurementActions("Timestamp UsernameToken"); wss4jSecurityInterceptor.setSecurementUsername(credential.getUsername()); wss4jSecurityInterceptor.setSecurementPassword(credential.getPassword()); setInterceptors(new ClientInterceptor[] { wss4jSecurityInterceptor }); }
resolve execution jar name|public static String (String workingDirectory, String userSpecifiedJarName, Logger log) { if (log.isDebugEnabled()) { String debugMsg = String.format("Resolving execution jar name: working directory: %s, user specified name: %s", workingDirectory, userSpecifiedJarName); log.debug(debugMsg); } if (userSpecifiedJarName.endsWith(".jar")) { userSpecifiedJarName = userSpecifiedJarName.replace(".jar", ""); } else if (userSpecifiedJarName.endsWith(".py")) { userSpecifiedJarName = userSpecifiedJarName.replace(".py", ""); } String userSpecifiedJarPath = String.format("%s/%s", workingDirectory, userSpecifiedJarName); int lastIndexOfSlash = userSpecifiedJarPath.lastIndexOf("/"); final String jarPrefix = userSpecifiedJarPath.substring(lastIndexOfSlash + 1); final String dirName = userSpecifiedJarPath.substring(0, lastIndexOfSlash); if (log.isDebugEnabled()) { String debugMsg = String.format("Resolving execution jar name: dirname: %s, jar name: %s", dirName, jarPrefix); log.debug(debugMsg); } File[] potentialExecutionJarList; try { potentialExecutionJarList = getFilesInFolderByRegex(new File(dirName), jarPrefix + ".*(jar|py)"); } catch (FileNotFoundException e) { throw new IllegalStateException("execution jar is suppose to be in this folder, but the folder doesn't exist: " + dirName); } if (potentialExecutionJarList.length == 0) { throw new IllegalStateException("unable to find execution jar for Spark at path: " + userSpecifiedJarPath + "*.(jar|py)"); } else if (potentialExecutionJarList.length > 1) { throw new IllegalStateException("I find more than one matching instance of the execution jar at the path, don't know which one to use: " + userSpecifiedJarPath + "*.(jar|py)"); } String resolvedJarName = potentialExecutionJarList[0].toString(); log.info("Resolving execution jar/py name: resolvedJarName: " + resolvedJarName); return resolvedJarName; }
undelete table|public void (String datasetId) throws InterruptedException { generateTableWithDdl(datasetId, "oops_undelete_me"); // [START bigquery_undelete_table] // String datasetId = "my_dataset"; String tableId = "oops_undelete_me"; // Record the current time. We'll use this as the snapshot time // for recovering the table. long snapTime = Instant.now().toEpochMilli(); // "Accidentally" delete the table. bigquery.delete(TableId.of(datasetId, tableId)); // Construct the restore-from tableID using a snapshot decorator. String snapshotTableId = String.format("%s@%d", tableId, snapTime); // Choose a new table ID for the recovered table data. String recoverTableId = String.format("%s_recovered", tableId); // Construct and run a copy job. CopyJobConfiguration configuration = CopyJobConfiguration.newBuilder(TableId.of(datasetId, recoverTableId), TableId.of(datasetId, snapshotTableId)).build(); Job job = bigquery.create(JobInfo.of(configuration)); job = job.waitFor(); // Check the table StandardTableDefinition table = bigquery.getTable(TableId.of(datasetId, recoverTableId)).getDefinition(); System.out.println("State: " + job.getStatus().getState()); System.out.printf("Recovered %d rows.\n", table.getNumRows()); // [END bigquery_undelete_table] }
fit sequences|public void (JavaRDD<Sequence<T>> corpus) { /** * Basically all we want for base implementation here is 3 things: * a) build vocabulary * b) build huffman tree * c) do training * * in this case all classes extending SeqVec, like deepwalk or word2vec will be just building their RDD<Sequence<T>>, * and calling this method for training, instead implementing own routines */ validateConfiguration(); if (ela == null) { try { ela = (SparkElementsLearningAlgorithm) Class.forName(configuration.getElementsLearningAlgorithm()).newInstance(); } catch (Exception e) { throw new RuntimeException(e); } } if (workers > 1) { log.info("Repartitioning corpus to {} parts...", workers); corpus.repartition(workers); } if (storageLevel != null) corpus.persist(storageLevel); final JavaSparkContext sc = new JavaSparkContext(corpus.context()); // this will have any effect only if wasn't called before, in extension classes broadcastEnvironment(sc); Counter<Long> finalCounter; long numberOfSequences = 0; /** * Here we s */ if (paramServerConfiguration == null) { paramServerConfiguration = VoidConfiguration.builder().numberOfShards(2).unicastPort(40123).multicastPort(40124).build(); paramServerConfiguration.setFaultToleranceStrategy(FaultToleranceStrategy.NONE); } isAutoDiscoveryMode = paramServerConfiguration.getShardAddresses() != null && !paramServerConfiguration.getShardAddresses().isEmpty() ? false : true; Broadcast<VoidConfiguration> paramServerConfigurationBroadcast = null; if (isAutoDiscoveryMode) { log.info("Trying auto discovery mode..."); elementsFreqAccumExtra = corpus.context().accumulator(new ExtraCounter<Long>(), new ExtraElementsFrequenciesAccumulator()); ExtraCountFunction<T> elementsCounter = new ExtraCountFunction<>(elementsFreqAccumExtra, configuration.isTrainSequenceVectors()); JavaRDD<Pair<Sequence<T>, Long>> countedCorpus = corpus.map(elementsCounter); // just to trigger map function, since we need huffman tree before proceeding numberOfSequences = countedCorpus.count(); finalCounter = elementsFreqAccumExtra.value(); ExtraCounter<Long> spareReference = (ExtraCounter<Long>) finalCounter; // getting list of available hosts Set<NetworkInformation> availableHosts = spareReference.getNetworkInformation(); log.info("availableHosts: {}", availableHosts); if (availableHosts.size() > 1) { // now we have to pick N shards and optionally N backup nodes, and pass them within configuration bean NetworkOrganizer organizer = new NetworkOrganizer(availableHosts, paramServerConfiguration.getNetworkMask()); paramServerConfiguration.setShardAddresses(organizer.getSubset(paramServerConfiguration.getNumberOfShards())); // backup shards are optional if (paramServerConfiguration.getFaultToleranceStrategy() != FaultToleranceStrategy.NONE) { paramServerConfiguration.setBackupAddresses(organizer.getSubset(paramServerConfiguration.getNumberOfShards(), paramServerConfiguration.getShardAddresses())); } } else { // for single host (aka driver-only, aka spark-local) just run on loopback interface paramServerConfiguration.setShardAddresses(Arrays.asList("127.0.0.1:" + paramServerConfiguration.getPortSupplier().getPort())); paramServerConfiguration.setFaultToleranceStrategy(FaultToleranceStrategy.NONE); } log.info("Got Shards so far: {}", paramServerConfiguration.getShardAddresses()); // update ps configuration with real values where required paramServerConfiguration.setNumberOfShards(paramServerConfiguration.getShardAddresses().size()); paramServerConfiguration.setUseHS(configuration.isUseHierarchicSoftmax()); paramServerConfiguration.setUseNS(configuration.getNegative() > 0); paramServerConfigurationBroadcast = sc.broadcast(paramServerConfiguration); } else { // update ps configuration with real values where required paramServerConfiguration.setNumberOfShards(paramServerConfiguration.getShardAddresses().size()); paramServerConfiguration.setUseHS(configuration.isUseHierarchicSoftmax()); paramServerConfiguration.setUseNS(configuration.getNegative() > 0); paramServerConfigurationBroadcast = sc.broadcast(paramServerConfiguration); // set up freqs accumulator elementsFreqAccum = corpus.context().accumulator(new Counter<Long>(), new ElementsFrequenciesAccumulator()); CountFunction<T> elementsCounter = new CountFunction<>(configurationBroadcast, paramServerConfigurationBroadcast, elementsFreqAccum, configuration.isTrainSequenceVectors()); // count all sequence elements and their sum JavaRDD<Pair<Sequence<T>, Long>> countedCorpus = corpus.map(elementsCounter); // just to trigger map function, since we need huffman tree before proceeding numberOfSequences = countedCorpus.count(); // now we grab counter, which contains frequencies for all SequenceElements in corpus finalCounter = elementsFreqAccum.value(); } long numberOfElements = (long) finalCounter.totalCount(); long numberOfUniqueElements = finalCounter.size(); log.info("Total number of sequences: {}; Total number of elements entries: {}; Total number of unique elements: {}", numberOfSequences, numberOfElements, numberOfUniqueElements); /* build RDD of reduced SequenceElements, just get rid of labels temporary, stick to some numerical values, like index or hashcode. So we could reduce driver memory footprint */ // build huffman tree, and update original RDD with huffman encoding info shallowVocabCache = buildShallowVocabCache(finalCounter); shallowVocabCacheBroadcast = sc.broadcast(shallowVocabCache); // FIXME: probably we need to reconsider this approach JavaRDD<T> vocabRDD = corpus.flatMap(new VocabRddFunctionFlat<T>(configurationBroadcast, paramServerConfigurationBroadcast)).distinct(); vocabRDD.count(); /** * now we initialize Shards with values. That call should be started from driver which is either Client or Shard in standalone mode. */ VoidParameterServer.getInstance().init(paramServerConfiguration, new RoutedTransport(), ela.getTrainingDriver()); VoidParameterServer.getInstance().initializeSeqVec(configuration.getLayersSize(), (int) numberOfUniqueElements, 119, configuration.getLayersSize() / paramServerConfiguration.getNumberOfShards(), paramServerConfiguration.isUseHS(), paramServerConfiguration.isUseNS()); // proceed to training // also, training function is the place where we invoke ParameterServer TrainingFunction<T> trainer = new TrainingFunction<>(shallowVocabCacheBroadcast, configurationBroadcast, paramServerConfigurationBroadcast); PartitionTrainingFunction<T> partitionTrainer = new PartitionTrainingFunction<>(shallowVocabCacheBroadcast, configurationBroadcast, paramServerConfigurationBroadcast); if (configuration != null) for (int e = 0; e < configuration.getEpochs(); e++) corpus.foreachPartition(partitionTrainer); //corpus.foreach(trainer); // we're transferring vectors to ExportContainer JavaRDD<ExportContainer<T>> exportRdd = vocabRDD.map(new DistributedFunction<T>(paramServerConfigurationBroadcast, configurationBroadcast, shallowVocabCacheBroadcast)); // at this particular moment training should be pretty much done, and we're good to go for export if (exporter != null) exporter.export(exportRdd); // unpersist, if we've persisten corpus after all if (storageLevel != null) corpus.unpersist(); log.info("Training finish, starting cleanup..."); VoidParameterServer.getInstance().shutdown(); }
